0,0,2
1,1,2
2,2,3
3,3,2
4,4,6
5,5,0
6,6,0
7,7,0
8,8,1
9,9,3
10,10,3
11,11,3
12,12,6
13,13,4
14,14,2
15,15,12
16,16,1
17,17,5
18,18,5
19,19,2
0,0,18
1,1,3
2,2,6
3,3,13
4,4,39
5,5,6
6,6,2
7,7,18
8,8,2
9,9,7
10,10,35
11,11,4
12,12,8
13,13,15
14,14,2
15,15,11
16,16,3
17,17,3
18,18,2
19,19,4
0,0,0
1,1,0
2,2,3
3,3,0
4,4,0
5,5,1
6,6,14
7,7,9
8,8,0
9,9,6
10,10,4
11,11,5
12,12,0
13,13,2
14,14,0
15,15,0
16,16,2
17,17,17
18,18,0
19,19,6
0,0,0
1,1,2
2,2,3
3,3,0
4,4,1
5,5,0
6,6,7
7,7,3
8,8,0
9,9,2
10,10,1
11,11,3
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,2
18,18,3
19,19,5
0,0,0
1,1,0
2,2,0
3,3,2
4,4,2
5,5,5
6,6,0
7,7,15
8,8,0
9,9,1
10,10,5
11,11,0
12,12,0
13,13,2
14,14,0
15,15,0
16,16,0
17,17,0
18,18,5
19,19,1
0,0,0
1,1,1
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,8
16,16,5
17,17,0
18,18,1
19,19,0
0,0,0
1,1,5
2,2,28
3,3,52
4,4,28
5,5,5
6,6,4
7,7,3
8,8,5
9,9,87
10,10,18
11,11,4
12,12,16
13,13,17
14,14,4
15,15,9
16,16,3
17,17,10
18,18,28
19,19,19
0,0,27
1,1,64
2,2,26
3,3,42
4,4,39
5,5,4
6,6,30
7,7,24
8,8,15
9,9,56
10,10,36
11,11,18
12,12,29
13,13,24
14,14,55
15,15,42
16,16,13
17,17,29
18,18,19
19,19,27
0,0,2
1,1,8
2,2,19
3,3,4
4,4,2
5,5,19
6,6,4
7,7,5
8,8,31
9,9,42
10,10,16
11,11,2
12,12,25
13,13,3
14,14,18
15,15,3
16,16,0
17,17,22
18,18,2
19,19,55
0,0,5
1,1,28
2,2,36
3,3,45
4,4,0
5,5,7
6,6,28
7,7,24
8,8,26
9,9,33
10,10,6
11,11,9
12,12,38
13,13,21
14,14,5
15,15,0
16,16,0
17,17,104
18,18,1
19,19,105
0,0,0
1,1,0
2,2,2
3,3,1
4,4,11
5,5,0
6,6,1
7,7,1
8,8,1
9,9,1
10,10,0
11,11,0
